year_month,usd_krw,usd_jpy,usd_cny
2015-01,1087.595458984375,118.41086335615678,6.205977266485041
2015-02,1100.2324951171875,118.61110000610351,6.241064953804016
2015-03,1110.9309137517755,120.3465909090909,6.232450008392334
2015-04,1085.8340897993608,119.52054526589133,6.191895398226651
2015-05,1090.1923886253721,120.60300009591239,6.193728583199637
2015-06,1111.0995427911932,123.73363598910245,6.195704546841708
2015-07,1143.009569251019,123.26391269849694,6.198269595270571
2015-08,1175.6799897693452,123.15742928641183,6.321180933997745
2015-09,1184.4713634144175,120.19268105246805,6.359518181193959
2015-10,1144.915899103338,120.08345447887073,6.341613639484752
2015-11,1150.9761904761904,122.48642876034691,6.357476234436035
2015-12,1171.0308731742527,121.72034719715948,6.440265261608621
2016-01,1199.5761776878721,118.24190557570685,6.55637146177746
2016-02,1212.8518938337054,115.06671360560826,6.540314242953346
2016-03,1184.3800048828125,112.92456552256708,6.500495661859927
2016-04,1144.3095238095239,109.83695148286365,6.466157141185942
2016-05,1172.2631724964488,108.81204570423473,6.516249960119074
2016-06,1164.9268188476562,105.71845349398527,6.578818212855946
2016-07,1141.595714750744,104.07642836797805,6.67363334837414
2016-08,1109.3825948963995,101.26717310366423,6.646199952001157
2016-09,1108.2159035422585,101.89486382224344,6.671045455065641
2016-10,1124.8890497116815,103.69295247395833,6.7252333504813055
2016-11,1161.617725719105,108.19004613702947,6.83400448885831
2016-12,1182.662725275213,116.00390833074397,6.915836399251765
2017-01,1182.0504649769175,115.02686344493519,6.894768108021129
2017-02,1141.2954833984375,113.06555061340332,6.874494957923889
2017-03,1133.1069601307745,112.97691378386125,6.890969545944877
2017-04,1132.3119995117188,110.04494934082031,6.883634996414185
2017-05,1125.6356572690217,112.2127393639606,6.88717390143353
2017-06,1129.3704445578835,110.8734543540261,6.808781797235662
2017-07,1132.6250061035157,112.35410041809082,6.768529987335205
2017-08,1129.8617421025815,109.8294793833857,6.672647849373195
2017-09,1131.7100016276042,110.7239997500465,6.568804786318824
2017-10,1133.46044921875,112.90063580599698,6.6282454837452285
