Month,Group,Keyword,SearchIndex
2015-01,Kculture,chuseok,7.0
2015-02,Kculture,chuseok,8.0
2015-03,Kculture,chuseok,8.0
2015-04,Kculture,chuseok,5.0
2015-05,Kculture,chuseok,7.0
2015-06,Kculture,chuseok,7.0
2015-07,Kculture,chuseok,9.0
2015-08,Kculture,chuseok,7.0
2015-09,Kculture,chuseok,44.0
2015-10,Kculture,chuseok,45.0
2015-11,Kculture,chuseok,14.0
2015-12,Kculture,chuseok,9.0
2016-01,Kculture,chuseok,11.0
2016-02,Kculture,chuseok,11.0
2016-03,Kculture,chuseok,6.0
2016-04,Kculture,chuseok,7.0
2016-05,Kculture,chuseok,8.0
2016-06,Kculture,chuseok,5.0
2016-07,Kculture,chuseok,5.0
2016-08,Kculture,chuseok,8.0
2016-09,Kculture,chuseok,100.0
2016-10,Kculture,chuseok,21.0
2016-11,Kculture,chuseok,16.0
2016-12,Kculture,chuseok,12.0
2017-01,Kculture,chuseok,17.0
2017-02,Kculture,chuseok,7.0
2017-03,Kculture,chuseok,5.0
2017-04,Kculture,chuseok,6.0
2017-05,Kculture,chuseok,6.0
2017-06,Kculture,chuseok,7.0
2017-07,Kculture,chuseok,7.0
2017-08,Kculture,chuseok,3.0
2017-09,Kculture,chuseok,6.0
2017-10,Kculture,chuseok,24.0
2017-11,Kculture,chuseok,5.0
2017-12,Kculture,chuseok,4.0
2018-01,Kculture,chuseok,4.0
2018-02,Kculture,chuseok,3.0
2018-03,Kculture,chuseok,3.0
2018-04,Kculture,chuseok,3.0
2018-05,Kculture,chuseok,3.0
2018-06,Kculture,chuseok,2.0
2018-07,Kculture,chuseok,2.0
2018-08,Kculture,chuseok,4.0
2018-09,Kculture,chuseok,21.0
2018-10,Kculture,chuseok,7.0
2018-11,Kculture,chuseok,4.0
2018-12,Kculture,chuseok,4.0
2019-01,Kculture,chuseok,3.0
2019-02,Kculture,chuseok,3.0
2019-03,Kculture,chuseok,2.0
2019-04,Kculture,chuseok,3.0
2019-05,Kculture,chuseok,2.0
2019-06,Kculture,chuseok,2.0
2019-07,Kculture,chuseok,2.0
2019-08,Kculture,chuseok,11.0
2019-09,Kculture,chuseok,76.0
2019-10,Kculture,chuseok,9.0
2019-11,Kculture,chuseok,7.0
2019-12,Kculture,chuseok,9.0
2020-01,Kculture,chuseok,7.0
2020-02,Kculture,chuseok,4.0
2020-03,Kculture,chuseok,4.0
2020-04,Kculture,chuseok,5.0
2020-05,Kculture,chuseok,6.0
2020-06,Kculture,chuseok,5.0
2020-07,Kculture,chuseok,4.0
2020-08,Kculture,chuseok,4.0
2020-09,Kculture,chuseok,34.0
2020-10,Kculture,chuseok,36.0
2020-11,Kculture,chuseok,9.0
2020-12,Kculture,chuseok,7.0
2021-01,Kculture,chuseok,6.0
2021-02,Kculture,chuseok,7.0
2021-03,Kculture,chuseok,6.0
