Month,Group,Keyword,SearchIndex
2018-02,Kculture,hallyu,42.0
2018-03,Kculture,hallyu,47.0
2018-04,Kculture,hallyu,43.0
2018-05,Kculture,hallyu,57.0
2018-06,Kculture,hallyu,50.0
2018-07,Kculture,hallyu,48.0
2018-08,Kculture,hallyu,52.0
2018-09,Kculture,hallyu,67.0
2018-10,Kculture,hallyu,36.0
2018-11,Kculture,hallyu,39.0
2018-12,Kculture,hallyu,35.0
2019-01,Kculture,hallyu,35.0
2019-02,Kculture,hallyu,34.0
2019-03,Kculture,hallyu,39.0
2019-04,Kculture,hallyu,35.0
2019-05,Kculture,hallyu,38.0
2019-06,Kculture,hallyu,34.0
2019-07,Kculture,hallyu,30.0
2019-08,Kculture,hallyu,28.0
2019-09,Kculture,hallyu,24.0
2019-10,Kculture,hallyu,28.0
2019-11,Kculture,hallyu,24.0
2019-12,Kculture,hallyu,24.0
2020-01,Kculture,hallyu,21.0
2020-02,Kculture,hallyu,24.0
2020-03,Kculture,hallyu,21.0
2020-04,Kculture,hallyu,30.0
2020-05,Kculture,hallyu,34.0
2020-06,Kculture,hallyu,37.0
2020-07,Kculture,hallyu,43.0
2020-08,Kculture,hallyu,33.0
2020-09,Kculture,hallyu,34.0
2020-10,Kculture,hallyu,28.0
2020-11,Kculture,hallyu,30.0
2020-12,Kculture,hallyu,35.0
2021-01,Kculture,hallyu,50.0
2021-02,Kculture,hallyu,24.0
2021-03,Kculture,hallyu,28.0
2021-04,Kculture,hallyu,28.0
2021-05,Kculture,hallyu,27.0
2021-06,Kculture,hallyu,24.0
2021-07,Kculture,hallyu,23.0
2021-08,Kculture,hallyu,25.0
2021-09,Kculture,hallyu,23.0
2021-10,Kculture,hallyu,33.0
2021-11,Kculture,hallyu,29.0
2021-12,Kculture,hallyu,25.0
2022-01,Kculture,hallyu,32.0
2022-02,Kculture,hallyu,32.0
2022-03,Kculture,hallyu,31.0
2022-04,Kculture,hallyu,51.0
2022-05,Kculture,hallyu,42.0
2022-06,Kculture,hallyu,54.0
2022-07,Kculture,hallyu,44.0
2022-08,Kculture,hallyu,40.0
2022-09,Kculture,hallyu,39.0
2022-10,Kculture,hallyu,36.0
2022-11,Kculture,hallyu,44.0
2022-12,Kculture,hallyu,47.0
2023-01,Kculture,hallyu,29.0
2023-02,Kculture,hallyu,29.0
2023-03,Kculture,hallyu,31.0
2023-04,Kculture,hallyu,33.0
2023-05,Kculture,hallyu,35.0
2023-06,Kculture,hallyu,34.0
2023-07,Kculture,hallyu,29.0
2023-08,Kculture,hallyu,30.0
2023-09,Kculture,hallyu,29.0
2023-10,Kculture,hallyu,27.0
2023-11,Kculture,hallyu,28.0
2023-12,Kculture,hallyu,27.0
2024-01,Kculture,hallyu,29.0
2024-02,Kculture,hallyu,25.0
2024-03,Kculture,hallyu,32.0
2024-04,Kculture,hallyu,33.0
2024-05,Kculture,hallyu,29.0
2024-06,Kculture,hallyu,29.0
2024-07,Kculture,hallyu,23.0
2024-08,Kculture,hallyu,24.0
2024-09,Kculture,hallyu,27.0
2024-10,Kculture,hallyu,27.0
2024-11,Kculture,hallyu,24.0
2024-12,Kculture,hallyu,38.0
2025-01,Kculture,hallyu,23.0
2025-02,Kculture,hallyu,22.0
2025-03,Kculture,hallyu,28.0
2025-04,Kculture,hallyu,27.0
2025-05,Kculture,hallyu,25.0
2025-06,Kculture,hallyu,22.0
2025-07,Kculture,hallyu,28.0
2025-08,Kculture,hallyu,45.0
2025-09,Kculture,hallyu,40.0
2025-10,Kculture,hallyu,43.0
2015-01,Kculture,hanbok,41.0
2015-02,Kculture,hanbok,41.0
2015-03,Kculture,hanbok,39.0
2015-04,Kculture,hanbok,35.0
2015-05,Kculture,hanbok,38.0
2015-06,Kculture,hanbok,34.0
2015-07,Kculture,hanbok,33.0
2015-08,Kculture,hanbok,35.0
2015-09,Kculture,hanbok,43.0
2015-10,Kculture,hanbok,45.0
2015-11,Kculture,hanbok,40.0
2015-12,Kculture,hanbok,38.0
2016-01,Kculture,hanbok,44.0
2016-02,Kculture,hanbok,44.0
2016-03,Kculture,hanbok,39.0
2016-04,Kculture,hanbok,42.0
2016-05,Kculture,hanbok,48.0
2016-06,Kculture,hanbok,45.0
2016-07,Kculture,hanbok,46.0
2016-08,Kculture,hanbok,40.0
2016-09,Kculture,hanbok,57.0
2016-10,Kculture,hanbok,60.0
2016-11,Kculture,hanbok,52.0
2016-12,Kculture,hanbok,51.0
2017-01,Kculture,hanbok,64.0
2017-02,Kculture,hanbok,50.0
2017-03,Kculture,hanbok,52.0
2017-04,Kculture,hanbok,57.0
2017-05,Kculture,hanbok,54.0
2017-06,Kculture,hanbok,50.0
2017-07,Kculture,hanbok,51.0
2017-08,Kculture,hanbok,49.0
2017-09,Kculture,hanbok,54.0
2017-10,Kculture,hanbok,69.0
2017-11,Kculture,hanbok,58.0
2017-12,Kculture,hanbok,59.0
2018-01,Kculture,hanbok,62.0
2018-02,Kculture,hanbok,62.0
2018-03,Kculture,hanbok,56.0
2018-04,Kculture,hanbok,54.0
2018-05,Kculture,hanbok,51.0
2018-06,Kculture,hanbok,52.0
2018-07,Kculture,hanbok,48.0
2018-08,Kculture,hanbok,59.0
2018-09,Kculture,hanbok,71.0
2018-10,Kculture,hanbok,63.0
2018-11,Kculture,hanbok,59.0
2018-12,Kculture,hanbok,53.0
2019-01,Kculture,hanbok,57.0
2019-02,Kculture,hanbok,57.0
2019-03,Kculture,hanbok,58.0
2019-04,Kculture,hanbok,57.0
2019-05,Kculture,hanbok,53.0
2019-06,Kculture,hanbok,53.0
2019-07,Kculture,hanbok,66.0
2019-08,Kculture,hanbok,53.0
2019-09,Kculture,hanbok,64.0
2019-10,Kculture,hanbok,61.0
2019-11,Kculture,hanbok,58.0
2019-12,Kculture,hanbok,57.0
2020-01,Kculture,hanbok,56.0
2020-02,Kculture,hanbok,47.0
2020-03,Kculture,hanbok,40.0
2020-04,Kculture,hanbok,47.0
2020-05,Kculture,hanbok,45.0
2020-06,Kculture,hanbok,51.0
2020-07,Kculture,hanbok,57.0
2020-08,Kculture,hanbok,52.0
2020-09,Kculture,hanbok,54.0
2020-10,Kculture,hanbok,52.0
2020-11,Kculture,hanbok,50.0
2020-12,Kculture,hanbok,49.0
2021-01,Kculture,hanbok,57.0
2021-02,Kculture,hanbok,74.0
2021-03,Kculture,hanbok,51.0
2021-04,Kculture,hanbok,57.0
2021-05,Kculture,hanbok,53.0
2021-06,Kculture,hanbok,49.0
2021-07,Kculture,hanbok,47.0
2021-08,Kculture,hanbok,47.0
2021-09,Kculture,hanbok,59.0
2021-10,Kculture,hanbok,57.0
2021-11,Kculture,hanbok,49.0
2021-12,Kculture,hanbok,46.0
2022-01,Kculture,hanbok,56.0
2022-02,Kculture,hanbok,73.0
2022-03,Kculture,hanbok,52.0
2022-04,Kculture,hanbok,55.0
2022-05,Kculture,hanbok,60.0
2022-06,Kculture,hanbok,49.0
2022-07,Kculture,hanbok,50.0
2022-08,Kculture,hanbok,56.0
2022-09,Kculture,hanbok,64.0
2022-10,Kculture,hanbok,71.0
2022-11,Kculture,hanbok,64.0
2022-12,Kculture,hanbok,54.0
2023-01,Kculture,hanbok,61.0
2023-02,Kculture,hanbok,55.0
2023-03,Kculture,hanbok,57.0
2023-04,Kculture,hanbok,60.0
2023-05,Kculture,hanbok,57.0
2023-06,Kculture,hanbok,53.0
2023-07,Kculture,hanbok,52.0
2023-08,Kculture,hanbok,50.0
2023-09,Kculture,hanbok,61.0
2023-10,Kculture,hanbok,71.0
2023-11,Kculture,hanbok,59.0
2023-12,Kculture,hanbok,54.0
2024-01,Kculture,hanbok,57.0
2024-02,Kculture,hanbok,61.0
2024-03,Kculture,hanbok,59.0
2024-04,Kculture,hanbok,58.0
2024-05,Kculture,hanbok,57.0
2024-06,Kculture,hanbok,55.0
