scenario,split,model,feature_set,start,end,n_months,mae,rmse,wape_pct,bias,seasonal_naive_mae,skill_vs_seasonal_pct
recovery_period,development,ridge_log,all_signals,2024-07-01,2025-01-01,7,205752.6532,254516.9439,17.77292671,105924.1957,286219.5714,28.11370231
recovery_period,development,ridge_log,history,2024-07-01,2025-01-01,7,201817.051,235670.5768,17.43296916,176860.4364,286219.5714,29.48873134
recovery_period,development,ridge_log,history_fx,2024-07-01,2025-01-01,7,217320.7776,289579.4167,18.772182,178168.8888,286219.5714,24.07200651
recovery_period,development,ridge_log,history_interest,2024-07-01,2025-01-01,7,222974.3793,231707.9002,19.26054046,58993.94122,286219.5714,22.09673917
recovery_period,development,seasonal_naive,benchmark,2024-07-01,2025-01-01,7,286219.5714,295640.6651,24.72366402,-286219.5714,286219.5714,0
recovery_period,holdout,hist_gradient_boosting_log,all_signals,2025-02-01,2025-09-01,8,609605.9435,636312.0007,45.43569035,-609605.9435,190041.75,-220.7747474
recovery_period,holdout,hist_gradient_boosting_log,history,2025-02-01,2025-09-01,8,609605.9435,636312.0007,45.43569035,-609605.9435,190041.75,-220.7747474
recovery_period,holdout,hist_gradient_boosting_log,history_fx,2025-02-01,2025-09-01,8,609605.9435,636312.0007,45.43569035,-609605.9435,190041.75,-220.7747474
recovery_period,holdout,hist_gradient_boosting_log,history_interest,2025-02-01,2025-09-01,8,609605.9435,636312.0007,45.43569035,-609605.9435,190041.75,-220.7747474
recovery_period,holdout,last_month,benchmark,2025-02-01,2025-09-01,8,121946,190315.6835,9.088987328,-65010,190041.75,35.83199481
recovery_period,holdout,random_forest_log,all_signals,2025-02-01,2025-09-01,8,211718.484,231112.2786,15.77998965,-161494.108,190041.75,-11.40630097
recovery_period,holdout,random_forest_log,history,2025-02-01,2025-09-01,8,133176.0862,170371.2049,9.925998063,-73839.18163,190041.75,29.92272162
recovery_period,holdout,random_forest_log,history_fx,2025-02-01,2025-09-01,8,179135.9885,216360.8455,13.35152223,-126382.4742,190041.75,5.738613488
recovery_period,holdout,random_forest_log,history_interest,2025-02-01,2025-09-01,8,208062.7229,222857.3467,15.50751522,-150776.6197,190041.75,-9.48263887
recovery_period,holdout,ridge_log,all_signals,2025-02-01,2025-09-01,8,487646.5587,971973.5506,36.34570541,284086.9397,190041.75,-156.5996991
recovery_period,holdout,ridge_log,history,2025-02-01,2025-09-01,8,209131.5514,230124.9296,15.5871781,103859.3184,190041.75,-10.04505665
recovery_period,holdout,ridge_log,history_fx,2025-02-01,2025-09-01,8,214560.9023,259371.9846,15.99184329,48870.36918,190041.75,-12.90198194
recovery_period,holdout,ridge_log,history_interest,2025-02-01,2025-09-01,8,493086.6728,983099.2033,36.75117282,210766.4046,190041.75,-159.462288
recovery_period,holdout,seasonal_naive,benchmark,2025-02-01,2025-09-01,8,190041.75,203732.0824,14.16436011,-190041.75,190041.75,0
